일자,시가,고가,저가,종가,거래량,등락률
2025-09-23,123000,129600,120900,122200,1132769,0.0
2025-09-22,119200,122300,118000,122200,477908,2.775441547518924
2025-09-19,119400,121900,116600,118900,816362,-0.9991673605328892
2025-09-18,120900,125500,116700,120100,552417,-0.24916943521594684
2025-09-17,121100,123800,120000,120400,447564,-0.5780346820809248
2025-09-16,122700,124000,119500,121100,467229,-0.7377049180327869
2025-09-15,117800,124400,115500,122000,780398,3.389830508474576
2025-09-12,117700,121900,116500,118000,786764,0.7685738684884714
2025-09-11,114900,117500,111600,117100,931434,3.996447602131439
2025-09-10,105600,113900,105000,112600,1144777,7.442748091603053
2025-09-09,103600,106100,102200,104800,389218,1.452081316553727
2025-09-08,105800,105800,101700,103300,556013,-3.1865042174320526
2025-09-05,104200,107800,102800,106700,581317,3.291384317521781
2025-09-04,104600,106300,102500,103300,380141,-1.053639846743295
2025-09-03,106800,107300,104200,104400,467061,-1.41643059490085
2025-09-02,107200,108700,103400,105900,495631,-0.2824858757062147
2025-09-01,110200,110400,105000,106200,591054,-5.008944543828265
2025-08-29,113700,114600,110700,111800,228967,-1.4109347442680775
2025-08-28,113500,115900,112800,113400,181415,-1.9031141868512111
2025-08-27,118400,118800,115000,115600,190239,-1.6170212765957446
2025-08-26,117000,118900,115700,117500,224053,0.17050298380221654
2025-08-25,117200,119000,115600,117300,251652,2.177700348432056
2025-08-22,112000,116100,112000,114800,412237,3.7037037037037033
2025-08-21,110200,111100,106500,110700,301639,1.5596330275229358
2025-08-20,107000,109600,104400,109000,467283,-3.454384410983171
2025-08-19,114200,117900,112400,112900,375772,-1.9965277777777777
2025-08-18,109500,116200,108800,115200,422940,1.0526315789473684
2025-08-14,115300,115700,113000,114000,177634,-0.7832898172323759
2025-08-13,115800,117500,112600,114900,316491,0.2617801047120419
2025-08-12,117400,119400,113400,114600,434975,-1.8835616438356164
2025-08-11,119900,121400,114300,116800,499149,-2.013422818791946
2025-08-08,121000,123200,117700,119200,501203,-1.3245033112582782
2025-08-07,126100,126600,118000,120800,1236167,-7.148347425057648
2025-08-06,129000,131800,125800,130100,447979,2.199528672427337
2025-08-05,122000,128300,119500,127300,421004,5.380794701986755
2025-08-04,116600,122700,115800,120800,340562,2.027027027027027
2025-08-01,117500,122600,114000,118400,530429,0.1692047377326565
2025-07-31,116000,118900,112900,118200,360205,2.3376623376623376
2025-07-30,113300,116000,112000,115500,347645,1.138353765323993
2025-07-29,109700,115800,108900,114200,478445,1.6918967052537845
2025-07-28,102300,114900,101900,112300,1638911,13.549039433771487
2025-07-25,99600,99800,98000,98900,192530,-1.787487586891758
2025-07-24,99900,102400,97700,100700,534909,1.6145307769929365
2025-07-23,93400,99900,93400,99100,928436,6.903991370010787
2025-07-22,95600,95700,90500,92700,379183,-3.537981269510926
2025-07-21,96500,97000,93400,96100,284502,0.41797283176593525
2025-07-18,94800,96300,92600,95700,308884,2.7926960257787328
2025-07-17,95500,96300,92300,93100,257257,-2.0
2025-07-16,96000,97100,94100,95000,324300,-1.2474012474012475
2025-07-15,93900,97000,92800,96200,598226,5.3669222343921135
2025-07-14,90600,96300,89100,91300,487647,-0.10940919037199125
2025-07-11,92600,92900,90300,91400,229828,-1.5086206896551724
2025-07-10,91900,93300,91300,92800,276756,1.1995637949836424
2025-07-09,90600,92200,87800,91700,340128,1.662971175166297
2025-07-08,85700,90500,85600,90200,435099,4.157043879907621
2025-07-07,81500,87400,81000,86600,374376,5.224787363304982
2025-07-04,85300,86300,81700,82300,412440,-1.6726403823178015
2025-07-03,88200,88200,82000,83700,581940,-5.316742081447964
2025-07-02,87800,88800,85000,88400,461927,-0.6741573033707865
2025-07-01,90700,93600,86800,89000,698696,0.3382187147688839
2025-06-30,88100,91000,85200,88700,999022,5.344418052256532
2025-06-27,82800,84800,81400,84200,384076,2.93398533007335
2025-06-26,85300,85500,79600,81800,627572,-5.542725173210162
2025-06-25,85300,88500,83700,86600,555587,0.9324009324009324
2025-06-24,86100,86900,82400,85800,573665,2.0214030915576697
2025-06-23,80300,85300,79400,84100,615376,2.5609756097560976
2025-06-20,85000,85100,80500,82000,531435,-3.187721369539551
2025-06-19,78500,86300,78100,84700,1607522,7.079646017699115
2025-06-18,76300,83000,74700,79100,1773432,8.060109289617486
2025-06-17,79900,80700,70600,73200,887541,-2.9177718832891246
2025-06-16,70300,75900,70200,75400,706645,8.645533141210375
2025-06-13,71900,72000,68500,69400,321640,-1.69971671388102
2025-06-12,71700,74200,70600,70600,458803,1.729106628242075
2025-06-11,70300,71000,68500,69400,326374,0.43415340086830684
2025-06-10,68400,72000,67000,69100,564000,3.134328358208955
2025-06-09,66600,67000,64000,67000,365849,1.0558069381598794
2025-06-05,68300,68400,65600,66300,285391,-2.2123893805309733
2025-06-04,69800,69800,67500,67800,230152,-1.0218978102189782
2025-06-02,67500,69700,65700,68500,331461,2.2388059701492535
2025-05-30,66300,67000,65100,67000,226417,0.14947683109118087
2025-05-29,66200,69200,66000,66900,378270,2.4502297090352223
2025-05-28,70000,70000,64400,65300,420703,-5.2249637155297535
2025-05-27,66900,69200,66000,68900,248667,2.682563338301043
2025-05-26,67900,68200,65500,67100,322568,1.0542168674698795
2025-05-23,67900,67900,65000,66400,240495,-0.3003003003003003
2025-05-22,65500,68300,65300,66600,274482,-0.7451564828614009
2025-05-21,68500,68500,63700,67100,240903,0.0
2025-05-20,65900,67500,65600,67100,338793,3.5493827160493825
2025-05-19,64500,66000,63100,64800,426540,3.0206677265500796
2025-05-16,63700,64200,62900,62900,191023,-0.31695721077654515
2025-05-15,64100,64200,61600,63100,235633,-0.15822784810126583
2025-05-14,61700,63600,60800,63200,419253,4.118616144975288
2025-05-13,61300,61700,59500,60700,213168,2.1885521885521886
2025-05-12,59100,61600,58700,59400,399783,2.5906735751295336
2025-05-09,59100,59100,56900,57900,206906,-1.697792869269949
2025-05-08,58600,59800,57600,58900,291046,0.5119453924914675
2025-05-07,59100,60300,57800,58600,307576,1.7361111111111112
2025-05-02,55900,59700,55800,57600,670922,5.688073394495413
2025-04-30,56900,57500,53500,54500,522008,-2.5044722719141324
2025-04-29,49750,56200,49400,55900,860686,13.157894736842104
2025-04-28,50100,50100,48850,49400,134782,-1.1011011011011012
2025-04-25,50100,51000,49750,49950,248273,0.9090909090909091
2025-04-24,50700,50900,49250,49500,127822,-1.7857142857142856
2025-04-23,50000,50600,49250,50400,251989,3.172978505629478
2025-04-22,50400,51000,48400,48850,313476,-4.58984375
2025-04-21,51500,51600,50500,51200,147483,-0.5825242718446602
2025-04-18,52600,52600,50700,51500,180051,-0.7707129094412332
2025-04-17,50900,52300,50500,51900,168734,1.9646365422396856
2025-04-16,52000,52700,50300,50900,160434,-2.8625954198473282
2025-04-15,52000,52800,51200,52400,149849,1.550387596899225
2025-04-14,53300,53300,50400,51600,168392,0.1941747572815534
2025-04-11,48550,52000,48550,51500,272173,3.0
2025-04-10,48750,50200,48000,50000,443675,12.359550561797752
2025-04-09,45050,46500,43350,44500,596719,-3.1556039173014145
2025-04-08,47250,48150,45500,45950,318944,-0.10869565217391304
2025-04-07,49000,49800,45850,46000,401256,-11.368015414258188
2025-04-04,52100,53500,50600,51900,153888,-1.7045454545454544
2025-04-03,48900,53300,48900,52800,228677,2.7237354085603114
2025-04-02,51900,52200,50400,51400,165706,0.1949317738791423
2025-04-01,52500,53000,50800,51300,282886,-0.19455252918287938
2025-03-31,53100,53400,51100,51400,327526,-6.375227686703097
2025-03-28,55600,55600,54000,54900,222045,-1.2589928057553956
2025-03-27,56500,57600,55500,55600,367306,-3.4722222222222223
2025-03-26,59500,60200,56100,57600,474828,-3.1932773109243695
2025-03-25,61700,62500,59100,59500,302192,-2.936378466557912
2025-03-24,60200,61800,60200,61300,163449,1.9966722129783694
2025-03-21,61200,61600,58700,60100,430449,-3.064516129032258
2025-03-20,63200,63400,61500,62000,199844,-0.9584664536741214
2025-03-19,65500,66000,62400,62600,342470,-5.151515151515151
2025-03-18,66700,67500,65800,66000,181719,-0.9009009009009009
2025-03-17,65200,67900,64400,66600,364087,3.4161490683229814
2025-03-14,64200,65100,63800,64400,228631,-0.7704160246533128
2025-03-13,62500,65200,62400,64900,544464,6.919275123558484
2025-03-12,62300,62600,60100,60700,309567,-0.49180327868852464
2025-03-11,58800,61900,58700,61000,340394,-0.48939641109298526
2025-03-10,63200,63300,60800,61300,296057,-2.8526148969889067
2025-03-07,63700,64900,62500,63100,223632,-1.40625
2025-03-06,68400,68500,63600,64000,275505,-5.604719764011799
2025-03-05,63600,67900,63600,67800,366391,6.103286384976526
2025-03-04,62700,65100,62000,63900,336070,-1.2364760432766615
2025-02-28,67000,68700,64700,64700,606204,-6.231884057971015
2025-02-27,69300,70000,68100,69000,251011,1.1730205278592376
2025-02-26,68000,69400,67000,68200,317347,0.4418262150220913
2025-02-25,65100,68400,65000,67900,330269,0.741839762611276
2025-02-24,69400,69500,67100,67400,574988,-5.337078651685393
2025-02-21,70400,71500,69400,71200,279487,0.84985835694051
2025-02-20,72900,74000,70500,70600,389896,-3.4199726402188784
2025-02-19,76600,76700,72100,73100,688049,-2.403204272363151
2025-02-18,70000,75000,69500,74900,1186911,6.543385490753911
2025-02-17,69700,70600,68200,70300,385635,0.860832137733142
2025-02-14,71500,72400,68500,69700,801896,-3.8620689655172415
2025-02-13,74000,75300,72300,72500,911551,-0.5486968449931412
2025-02-12,71600,73000,70400,72900,571043,2.100840336134454
2025-02-11,69700,73700,69700,71400,903378,3.0303030303030303
2025-02-10,67900,70800,66700,69300,647977,0.43478260869565216
2025-02-07,72600,72600,69000,69000,645312,-4.033379694019471
2025-02-06,73200,75000,70900,71900,1025321,0.41899441340782123
2025-02-05,75500,75900,70800,71600,1386547,-3.8926174496644297
2025-02-04,74500,79000,73000,74500,2062765,1.4986376021798364
2025-02-03,71100,74000,69400,73400,1160818,1.662049861495845
2025-01-31,68500,73400,64300,72200,5967378,-1.366120218579235
2025-01-24,71800,74900,71800,73200,940534,2.2346368715083798
2025-01-23,73300,75800,71600,71600,876534,-1.2413793103448276
2025-01-22,72400,73900,70700,72500,919339,1.6830294530154277
2025-01-21,72300,73100,69100,71300,712584,-1.3831258644536653
2025-01-20,77200,78000,71500,72300,996279,-6.468305304010349
2025-01-17,79700,80200,76100,77300,842026,-2.398989898989899
2025-01-16,81400,82900,78600,79200,1079215,-2.941176470588235
2025-01-15,70800,83500,69700,81600,2905689,16.57142857142857
2025-01-14,69400,70800,68000,70000,418328,1.5965166908563133
2025-01-13,70300,72000,68800,68900,822236,1.6224188790560472
2025-01-10,70000,70800,67500,67800,533773,-0.7320644216691069
2025-01-09,69000,70700,66200,68300,489101,-1.0144927536231882
2025-01-08,69100,73800,68300,69000,614747,-1.5691868758915835
2025-01-07,69800,71900,67600,70100,618622,0.7183908045977011
2025-01-06,69000,70500,68000,69600,354619,2.3529411764705883
2025-01-03,68600,69800,66600,68000,324262,0.14727540500736377
2025-01-02,69300,71300,67900,67900,460450,-1.0204081632653061
2024-12-30,64900,69800,64900,68600,390541,4.41400304414003
2024-12-27,66800,68400,64600,65700,386541,-3.2400589101620034
2024-12-26,68000,69600,67400,67900,267731,0.0
2024-12-24,70300,70300,66400,67900,490185,-2.582496413199426
2024-12-23,72400,73900,69700,69700,576071,-1.1347517730496455
2024-12-20,70700,71900,69000,70500,303620,0.14204545454545456
2024-12-19,70500,73200,70100,70400,490489,-2.896551724137931
2024-12-18,73700,74700,71200,72500,523022,-2.027027027027027
2024-12-17,73500,76200,72500,74000,664656,0.5434782608695652
2024-12-16,71900,75800,71000,73600,1418348,5.293276108726753
2024-12-13,65000,70300,63500,69900,1811852,7.538461538461538
2024-12-12,63800,65500,61900,65000,755437,1.8808777429467085
2024-12-11,59100,64100,58000,63800,963028,8.503401360544217
2024-12-10,57500,59300,57300,58800,442056,3.3391915641476277
2024-12-09,56700,58200,54900,56900,655634,-2.735042735042735
2024-12-06,60100,61000,57000,58500,682362,-3.6243822075782535
2024-12-05,64500,66700,60600,60700,1325645,-2.88
2024-12-04,60600,62500,58600,62500,921606,0.16025641025641024
2024-12-03,56300,64900,56200,62400,1504209,12.432432432432433
2024-12-02,62900,63000,55400,55500,794450,-9.75609756097561
2024-11-29,61000,62900,59500,61500,727297,1.3179571663920924
2024-11-28,57100,61800,56600,60700,978583,5.1993067590987865
2024-11-27,56100,58700,55900,57700,550426,4.909090909090909
2024-11-26,59400,60700,54500,55000,698086,-5.821917808219178
2024-11-25,57700,59300,56700,58400,541542,3.7300177619893424
2024-11-22,56800,58400,55200,56300,491505,0.0
2024-11-21,60300,60400,55700,56300,602857,-6.4784053156146175
2024-11-20,58700,62300,58300,60200,989754,3.436426116838488
2024-11-19,63000,63400,57700,58200,863903,-8.92018779342723
2024-11-18,64300,65700,61800,63900,643456,1.2678288431061806
2024-11-15,66400,67200,60000,63100,1119956,-1.5600624024960998
2024-11-14,59100,65700,58900,64100,1505758,8.460236886632826
2024-11-13,59700,62100,56800,59100,842080,-3.431372549019608
2024-11-12,64300,69200,60600,61200,1958989,-0.8103727714748784
2024-11-11,61900,65500,60000,61700,1969216,-1.28
2024-11-08,55200,64000,54600,62500,3496938,13.22463768115942
2024-11-07,54300,58300,53100,55200,1621915,1.6574585635359116
2024-11-06,48200,57200,48000,54300,3807648,16.7741935483871
2024-11-05,46500,48000,46050,46500,530192,-0.4282655246252677
2024-11-04,45000,47650,43900,46700,785440,4.008908685968819
2024-11-01,41600,46350,40150,44900,1324644,6.524317912218268
2024-10-31,43300,44100,41450,42150,417977,-4.09556313993174
2024-10-30,41100,45950,40400,43950,1139757,6.934306569343065
2024-10-29,36450,42500,36450,41100,1869145,3.5264483627204033
2024-10-28,41600,42700,39650,39700,284082,-5.137395459976105
2024-10-25,41700,43750,40750,41850,306361,0.4801920768307323
2024-10-24,42350,42900,41000,41650,209859,-2.5730994152046787
2024-10-23,42350,44400,41300,42750,264630,1.3033175355450237
2024-10-22,44250,44300,42100,42200,173922,-4.632768361581921
2024-10-21,45250,46600,44250,44250,301974,-0.8958566629339306
2024-10-18,44600,45450,43250,44650,283657,0.11210762331838565
2024-10-17,41000,44950,41000,44600,523700,9.582309582309582
2024-10-16,42750,42750,40550,40700,355570,-6.329113924050633
2024-10-15,44200,44400,42500,43450,313702,-0.7990867579908676
2024-10-14,43500,45050,43000,43800,211479,0.6896551724137931
2024-10-11,44200,44700,43250,43500,245607,-2.793296089385475
2024-10-10,45800,46500,44500,44750,214407,-1.1049723756906076
2024-10-08,46500,47100,45200,45250,221053,-3.9278131634819533
2024-10-07,46650,47500,44900,47100,468475,2.50272034820457
2024-10-04,44600,47450,43800,45950,370495,4.431818181818182
2024-10-02,47250,47700,43700,44000,382483,-8.045977011494253
2024-09-30,47250,48100,45900,47850,350219,0.0
2024-09-27,49650,49750,47000,47850,384140,-2.644964394710071
2024-09-26,47050,49500,46250,49150,599381,5.698924731182796
2024-09-25,45500,47800,45400,46500,779151,3.678929765886288
2024-09-24,43600,45000,43600,44850,451542,3.222094361334868
2024-09-23,43850,44100,42200,43450,463334,1.0465116279069768
